IlmnID	CHR	MAPINFO	p.value
cg00090147	8	11562367	9.05089846442033e-07
cg00397986	8	11561593	7.92704567084877e-22
cg00595237	8	11560763	2.07633375868566e-16
cg01098320	8	11557597	1.98114591750861e-05
cg01182865	8	11559334	0.213102332746925
cg01509065	8	11550554	0.000677059518794505
cg01546563	8	11567189	0.105854847101375
cg02119091	8	11553749	0.400133417143361
cg02146032	8	11559156	0.983080983041572
cg02726121	8	11561531	2.03191506347405e-08
cg03007522	8	11562685	2.64387754025638e-10
cg03024537	8	11557217	0.000105673564714742
cg03333634	8	11555251	2.13316578346066e-13
cg03579045	8	11579013	0.856197217251116
cg04167595	8	11555548	2.76217474050388e-07
cg04233840	8	11560621	0.0110545684379655
cg05237485	8	11555440	5.52309556940882e-06
cg05412333	8	11560838	4.20929678046497e-09
cg06558050	8	11550572	0.449036921015797
cg06704518	8	11565530	8.46010694985442e-06
cg06707081	8	11560779	0.0366235249600372
cg08379586	8	11560451	0.237627542385802
cg09098624	8	11558334	0.0032754747015408
cg09130043	8	11561283	0.00325456468384565
cg09626984	8	11566096	7.02761475281419e-15
cg09951349	8	11561584	6.16006668162087e-09
cg10866709	8	11561361	0.505624136177755
cg11981599	8	11566526	3.14267648421801e-07
cg12117141	8	11558169	0.0375858392299749
cg13166213	8	11560563	8.67889436506575e-06
cg13434842	8	11567896	5.52382410625379e-09
cg13680188	8	11560486	0.821230301239014
cg14379719	8	11561508	2.93717062918661e-05
cg14487356	8	11565277	0.00166581886847603
cg14666113	8	11561724	1.16843786758726e-08
cg16015276	8	11550445	0.000186865610042373
cg16441259	8	11557906	1.62196622131586e-09
cg16795466	8	11560510	0.00542930412058836
cg16844941	8	11555178	1.18700789551336e-07
cg18119192	8	11567691	0.858261803150492
cg18283386	8	11561728	8.8123907072622e-08
cg19172575	8	11567721	0.484470627629928
cg19971388	8	11559775	0.0114614939007197
cg20279283	8	11566863	6.16731659456623e-06
cg20908789	8	11551964	0.597109983234546
cg21073927	8	11562155	0.000853973500994258
cg21227848	8	11559796	0.0416395665397724
cg22320962	8	11560299	8.43588232005078e-08
cg24646414	8	11565725	0.0102936228643797
cg24738627	8	11563023	0.134876956403366
cg25216696	8	11565351	1.64417504916645e-08
cg25945788	8	11570318	0.654651149640941
cg26006870	8	11559039	0.00159260578822332
cg26020513	8	11568356	0.830591248605954
cg27625887	8	11550841	0.465527986052126
