cg00090147	cg00397986	cg00595237	cg01098320	cg01182865	cg01509065	cg01546563	cg02119091	cg02146032	cg02726121	cg03007522	cg03024537	cg03333634	cg03579045	cg04167595	cg04233840	cg05237485	cg05412333	cg06558050	cg06704518	cg06707081	cg08379586	cg09098624	cg09130043	cg09626984	cg09951349	cg10866709	cg11981599	cg12117141	cg13166213	cg13434842	cg13680188	cg14379719	cg14487356	cg14666113	cg16015276	cg16441259	cg16795466	cg16844941	cg18119192	cg18283386	cg19172575	cg19971388	cg20279283	cg20908789	cg21073927	cg21227848	cg22320962	cg24646414	cg24738627	cg25216696	cg25945788	cg26006870	cg26020513	cg27625887
-0.178469705	0.228204976	-0.747205492	-0.189800891	0.210080423	-0.525527593	0.198152075	-0.579553781	0.113606412	-1.368284264	0.133043302	-0.054272634	-0.766185059	0.351099412	-0.072341938	0.115341409	0.432288004	0.068667771	-0.313029847	-0.531584322	-1.290531095	0.063506994	-0.291151426	-0.031467492	0.277408782	-0.875189291	0.606031946	0.08660806	0.69618333	0.389941214	-0.129684304	-0.144186908	0.2912021	-0.642904417	-0.458963391	-0.794834734	-1.240811108	-0.095063505	-0.511064378	-0.160347677	-0.69231152	1.10504727	-1.01041502	0.753001071	-0.086364855	-0.896632085	-0.466813873	-0.991406702	-1.207349205	-0.055161921	-1.964015779	-0.727210114	-0.757707652	-0.643763576	0.848119788
0.230657814	0.658072132	-0.524317685	-1.002230327	0.456014985	-0.069525566	-1.093424631	0.075358597	-0.53919275	0.713699775	-0.339847934	-0.032239158	0.89912025	-0.186558804	0.384111675	-0.311224924	1.136104194	-0.396735525	0.401632432	-0.727104837	-1.10899772	-0.279414963	-0.84980271	0.297421909	0.000542458	0.492627343	-1.18365476	0.402424971	0.204428714	0.435922736	1.445592134	-0.153261295	-0.631735986	1.361848626	0.029367151	0.504894741	-0.329031122	-0.808475327	1.239671472	-0.128710514	0.406261846	0.132069723	0.852201326	1.187303428	-0.016598394	-0.062135481	-0.221974312	-0.052484721	0.120175416	-0.151571347	-0.582591497	-0.075223083	0.13861971	-0.368440999	0.104866465
0.498515532	-0.239329806	-0.601587335	-0.525429206	-1.543268115	-0.738436551	-1.532662873	-0.74247941	-0.273836011	-0.539783895	0.834313876	-0.281758841	0.469427539	0.302652552	-0.403045834	0.168433302	-0.48263232	0.104920449	0.351048367	-1.284172207	-0.025287732	0.445035991	-0.789336815	0.191180586	0.145663464	-0.571157362	0.303227729	-1.022841636	-0.377265135	-0.13986715	-1.059634045	0.290737708	-0.59911519	-0.230516118	-1.036187416	-0.456317051	1.124140735	-0.386598047	-0.979065753	-1.130904712	-0.344683399	-1.156346185	-0.612871405	-0.641746711	-1.202487868	-1.264401196	0.181675945	0.497604154	0.751511897	-1.272299413	0.705817231	-0.382859153	0.143388987	0.197125213	0.038517306
-0.396238407	-0.389972681	0.258932738	1.991763013	-0.439069389	-0.1805432	-0.51193201	0.305195483	-0.449796093	-0.725911476	-0.654712093	0.709180019	-0.457097224	0.461658746	-0.373822112	0.98177141	0.010156374	-0.054005438	-0.110172509	1.032037923	1.178018401	-0.153496919	0.008039297	0.15800004	0.128065828	-0.017617064	0.82269288	0.639120458	0.561382154	-0.391506281	0.256271843	1.069029857	0.852123382	0.198507441	-0.456345619	0.104920244	0.803068455	1.05660582	0.804791021	0.066174992	-0.004558458	-0.383434104	1.13144116	-0.570214633	0.62335798	1.578087184	-0.042044286	-0.035384886	-0.558436625	0.454980184	0.750445208	1.256775084	-0.7141822	0.153062893	-0.236154266
0.40922259	-0.426246104	-0.049799292	-0.825190117	0.253066414	-0.270806734	-0.465289465	-0.610580411	-0.146051113	0.785709574	0.101833213	0.089713655	-0.341304578	-0.739393555	-0.103198719	0.367276789	-0.019232883	-0.800761069	-0.529481644	1.285079875	-0.713711549	-0.012326326	0.415711055	0.216802178	0.358832762	0.124151867	-0.067175049	-0.062202811	0.505978007	0.495637924	0.158583883	-0.019453789	-0.339054228	-0.862891351	-0.224480165	-0.293308089	-0.374014876	0.045796404	-0.202743901	0.990737621	-0.190352042	0.041189985	-0.442188347	0.231473626	-1.055975185	0.534806262	0.950524706	0.108613112	1.153380879	0.96851316	0.104926801	0.107640722	-0.435471488	-1.207143743	-0.014426183
-0.496976876	0.000923856	0.224449886	-1.197143912	1.249032737	-0.431562338	-0.447843671	0.790521915	-0.138930313	-0.35980104	-0.477108258	0.412514888	-0.435569299	2.049717248	-1.033581596	-0.950982987	-0.367319265	0.357107187	-0.146310192	-0.346811538	0.891262535	-0.453835999	-0.282492857	-0.403815723	0.203146241	0.513009813	-0.720935573	-0.55204381	-0.170402459	-0.241161203	0.108768168	-0.293973123	0.32328367	-0.179429597	0.487699667	-0.294654946	-0.322001546	-0.12809287	-0.758287504	0.648288882	-0.094438129	0.427874136	0.264962139	-0.155074279	-0.273883033	0.287095957	0.57852139	-0.491508728	0.378170424	0.024418341	0.657178349	-1.042825053	1.033223775	0.199349965	-0.230919762
-0.222956982	-0.538151662	0.677222342	-0.423986169	0.038961428	-0.624434028	1.12663399	0.454322171	-0.614005568	0.388836108	-0.236696548	0.787743911	-0.332788921	-0.964331721	-0.499344858	-0.769070519	-0.309970116	-0.237317109	-0.498637137	0.56874054	-0.620259867	0.247265922	0.77315401	-0.83201168	-0.963448712	-0.568669845	0.414052879	-0.592814241	-1.191370993	-0.587334975	0.599828181	-0.054039728	-0.073818786	0.661043346	0.294168781	0.049364829	0.179889949	-0.498888481	0.107488027	0.166528874	0.429203061	-0.324719489	-0.386302263	-0.466859774	-1.125953663	-0.709059168	0.433531284	0.142049969	-0.931357186	-0.219846334	-0.186214951	0.9583391	-0.56742961	0.610018698	0.515411411
-0.530998236	1.232211518	0.938722293	-0.107658256	0.015740123	1.92123353	0.714057233	0.76109907	0.469620141	-0.068373385	0.481579329	-0.144188615	1.757681156	0.839075189	1.038100472	-0.553876623	1.078103136	-0.115595568	1.00782799	-0.181327625	-0.028988275	0.062782525	-0.211646606	0.508767941	0.300408508	0.760442451	-0.72703251	0.863283654	0.011147497	0.747963606	0.343122541	-1.524599894	-0.229487101	0.69019822	-1.099983742	0.804160945	0.604379956	0.244558199	0.323799361	0.103294422	0.053011739	0.451266143	1.295520705	0.016802659	0.863857188	0.204472105	0.191594445	0.446182244	1.221110637	-0.0784732	0.524196288	0.059628133	0.163911894	0.246527918	-0.881228136
-0.721149437	-0.523620967	0.563767616	-0.200685411	0.911359332	-0.005778156	-0.064584326	-0.515294481	0.573961887	0.778754131	-0.249266555	-0.283123032	-0.59471026	-1.037273016	0.620595115	0.040921786	-0.668963344	0.821462015	-0.165552867	0.089236994	0.542172274	0.237642888	-0.494119509	0.893921102	0.090403838	0.30036683	-0.1192608	0.286913603	0.110242259	-0.763624346	-1.177215421	1.021818843	-0.163412159	0.078329249	0.651192589	0.264980226	0.161033266	0.714382873	-0.419405922	-0.272871003	-0.184638133	-0.116681897	0.374492019	0.286186278	1.189689408	0.014699143	-0.440476963	0.204101007	-0.384542838	1.143216106	-0.055206161	-0.755849403	0.704438557	-0.036405493	0.104943409
0.737485409	1.006617998	0.274426403	1.788994793	-0.347431062	0.730077766	1.189543949	-0.792192099	0.074265388	1.11931149	-0.022435918	-0.131040966	0.10573287	0.172914622	0.444864895	-0.056074229	0.051027274	-0.310731182	-0.223876373	0.21630382	-0.527078745	0.107810645	-0.152039891	-0.998669028	-0.221173062	0.5981439	0.112553299	0.295331064	-0.143930984	0.00605259	0.243545337	0.175812447	0.372882747	-1.257208153	1.159949472	0.252810855	-0.36247359	-0.21795226	1.094653464	0.379592088	0.343816659	0.739924829	-0.389788213	0.269726981	0.542179859	0.2120337	-0.042492804	-0.104806187	0.101523574	-0.330764196	0.198864829	0.605704351	-0.457869676	0.806740134	-0.547815259
0.487866934	-1.008709259	-1.014611475	0.691366484	-0.804486877	0.195302869	0.887349731	0.853602946	0.930358019	-0.724157019	0.429297585	-1.072529227	-0.304306474	-1.249560675	-0.0023371	0.967484584	-0.859561054	0.562988468	0.226551779	-0.120398621	1.703401773	-0.264970758	1.873685452	-0.000129833	-0.319850106	-0.756108641	0.55949996	-0.343779312	-0.206392389	0.047975885	-0.789178317	-0.36788412	0.197131552	0.183022755	0.653582673	-0.14201702	-0.244180118	0.073727192	-0.699835886	-0.661782974	0.278688377	-0.916190412	-1.0770521	-0.910598647	0.542178562	0.10103358	-1.122045532	0.277040738	-0.644186972	-0.483011379	-0.153400318	-0.004120584	0.749077702	0.042928989	0.298685226
